Mes;genero_principal;generos_secundarios;cantidad_reproducciones;msPlayed;Minutos escuchados
2025-08;Indie Pop;Indie Folk, Canción Pop / Canción Urbana;14;1887908;31.465.133.333.333.300
2025-08;Rock Argentino;Pop Rock, New Wave, Progressive Rock;10;1431392;2.385.653.333.333.330
2025-08;Rock Argentino;Murga Rock, Candombe Rock, Blues Rock;5;1088607;18.143.449.999.999.900
2025-08;Indie Rock;Post-Punk, Space Rock, Noise Pop;5;760801;12.680.016.666.666.600
2025-08;Rock Argentino;Art Rock, Alternative Rock, Electronic Fusion;2;654170;10.902.833.333.333.300
2025-08;Indie Rock;Art Rock, Synth-Pop, Dance Rock;6;634389;1.057.315
2025-08;Canción de Autor;Rock de Cámara, Experimental Folk;5;618963;1.031.605
2025-08;Indie Pop;Canción de Autor, Art Pop;4;579870;96.645
2025-08;Rock Argentino;Pop Rock, Piano Rock;5;541093;9.018.216.666.666.660
2025-08;Indie Folk;Acoustic, Singer-Songwriter;4;455822;7.597.033.333.333.330
2025-08;Indie Rock;Experimental, Dream Pop, Lo-Fi;2;412345;6.872.416.666.666.660
2025-08;Rock Argentino;Latin Rock, Ska Rock, Cumbia Rock;5;402979;6.716.316.666.666.660
2025-08;Rock Argentino;Alternative Rock, Electro-Rock, Pop Rock;5;390837;651.395
2025-08;Rock Argentino;Folk Rock, Progressive Rock;3;390387;650.645
2025-08;Rock Argentino;Alternative Rock, Funk Rock, Hard Rock;4;363763;6.062.716.666.666.660
2025-08;Rock Argentino;Hard Rock, Funk Rock, Folklore Rock;1;325960;5.432.666.666.666.660
2025-08;Indie Pop;R&B Urbano, Bedroom Pop;3;314814;52.469
2025-08;Rock Argentino;Hard Rock, Art Rock;1;310173;516.955
2025-08;Indie Rock;Art Rock, Alternative Rock;5;282297;470.495
2025-08;Rock Nacional;Pop Rock / Art Pop;3;265570;4.426.166.666.666.660
2025-08;Indie Rock;New Wave, Synth-Pop;1;243333;405.555
2025-08;Rock Argentino;Post-Punk, Hard Rock;2;242716;4.045.266.666.666.660
2025-08;Indie Rock;Punk Rock, Krautrock Argentino;1;241297;4.021.616.666.666.660
2025-08;Rock Argentino;Psych Rock, Folk Rock, Canción de Autor;2;236640;3.944
2025-08;Urbano Latino;Alternative Hip-Hop, Industrial Rap, Post-Punk;2;233651;38.941.833.333.333.300
2025-08;Indie Rock;Lo-Fi, Noise Pop, Post-Punk;2;232468;38.744.666.666.666.600
2025-08;Canción de Autor;Indie Pop, Folk Latinoamericano;2;214565;3.576.083.333.333.330
2025-08;Rock Argentino;Hard Rock, Heavy Blues;2;213529;3.558.816.666.666.660
2025-08;Rock Argentino;Reggae Rock, Post-Punk;1;210026;35.004.333.333.333.300
2025-08;Indie Pop;Electro-Pop, Performático;1;209133;348.555
2025-08;Rock Argentino;Art Rock, Jazz Rock, Folk Rock;2;203776;33.962.666.666.666.600
2025-08;Indie Rock;Punk Folk, Experimental Rock;1;193012;32.168.666.666.666.600
2025-08;Urbano Latino;Alternative R&B, Trap Pop;1;191448;31.908
2025-08;Indie Folk;Canción Latinoamericana;1;191320;31.886.666.666.666.600
2025-08;Indie Folk;Acoustic, Folk Latinoamericano;1;179094;29.849
2025-08;Indie Pop;Psicodelia, Bedroom Pop;1;174357;290.595
2025-08;Indie Pop;Dream Pop, Slowcore;1;170326;2.838.766.666.666.660
2025-08;Urbano Latino;Reggaeton, Trap Latino, Synth-Pop, Mambo;3;168988;2.816.466.666.666.660
2025-08;Indie Rock;Garage Rock, Post-Punk;2;127630;21.271.666.666.666.600
2025-08;Rock Argentino;Progressive Rock, Art Pop, Symphonic Rock;1;125733;209.555
2025-08;Indie Pop;Pop Rock / Synth-Pop;1;94160;15.693.333.333.333.300
2025-08;Indie Rock;Alternative Rock, Garage Rock;3;87513;145.855
2025-08;Canción de Autor;Indie Folk, Canción Platense;2;66229;11.038.166.666.666.600
2025-08;Indie Pop;Pop Urbano;1;63466;10.577.666.666.666.600
2025-08;Rock Argentino;Hard Rock, Blues Rock, Proto-Punk, Folk Progresivo;4;55349;0.9224833333333333
2025-08;Indie Rock;Jangle Pop, Bedroom Pop, Psychedelic Pop;1;44251;0.7375166666666667
2025-08;Indie Rock;Lo-Fi, Alternative Rock;2;41020;0.6836666666666666
2025-08;Indie Rock;Canción de Autor, Bedroom Pop;1;30713;0.5118833333333334
2025-08;Canción de Autor;Jazz Fusion, Folklore Fusion, Pop Rock;1;24665;0.41108333333333336
2025-08;Indie Folk;Americana, Acoustic;1;20072;0.33453333333333335
2025-08;Canción de Autor;Candombe Beat, Folk Uruguayo;3;11841;0.19735
2025-08;Indie Rock;Post-Punk, New Wave;1;7491;0.12485
2025-08;Urbano Latino;Hip-Hop, Funk Carioca, Boom Bap, Trap;3;6085;0.10141666666666667
2025-08;Indie Pop;Synth-Pop, Bedroom Pop;1;3827;0.06378333333333333
2025-08;Indie Folk;Canción Latinoamericana, Avant-Garde Pop;1;2810;0.04683333333333333
2025-08;Indie Pop;Dream Pop, R&B Soul;1;2733;0.04555
2025-08;Indie Rock;Afro-Pop Fusion, Art Pop;1;2230;0.03716666666666667
2025-08;Indie Pop;Jangle Pop, Post-Punk;1;2214;0.0369
2025-08;Rock Argentino;Alternative Rock, Post-Punk, Shoegaze;1;2182;0.036366666666666665
2025-08;Indie Rock;Indie Folk, Alternative Rock;1;1396;0.023266666666666668
2025-09;Urbano Latino;Reggaeton, Trap Latino, Synth-Pop, Mambo;190;27499353;45.832.255
2025-09;Urbano Latino;Electro Funk, Alternative Trap, Hip-Hop;74;6704874;1.117.479
2025-09;Nuevo Flamenco;Latin Alternative, Bolero Fusion, Experimental Pop;53;5734385;9.557.308.333.333.330
2025-09;Urbano Latino;Hip-Hop, Funk Carioca, Boom Bap, Trap;65;3962998;6.604.996.666.666.660
2025-09;Rock Argentino;Pop Rock, New Wave, Progressive Rock;17;2874818;4.791.363.333.333.330
2025-09;Indie Rock;Post-Punk, Space Rock, Noise Pop;21;2385153;3.975.255
2025-09;Indie Rock;Post-Punk / Punk Rock;16;2271850;3.786.416.666.666.660
2025-09;Indie Pop;Funk Pop / Bedroom Pop;11;2127129;3.545.215
2025-09;Indie Rock;Art Rock, Alternative Rock;15;1780785;29.679.750.000.000.000
2025-09;Rock Argentino;Alternative Rock, Electro-Rock, Pop Rock;21;1739556;289.926
2025-09;Rock Argentino;Art Rock, Alternative Rock, Electronic Fusion;6;1286972;21.449.533.333.333.300
2025-09;Urbano / Trap;EDM / Trap / Session Producer;16;1241820;20.697
2025-09;Indie Rock;Indie Pop / Rock Argentino / Pop Experimental;11;1105677;1.842.795
2025-09;Rock Nacional;Rock Progresivo / Jazz Rock;7;957416;15.956.933.333.333.300
2025-09;Rock Nacional;Rock Stone / Blues Rock;4;936373;15.606.216.666.666.600
2025-09;Rock Argentino;Pop Rock, Piano Rock;6;916834;15.280.566.666.666.600
2025-09;Indie Rock;Canción de Autor, Bedroom Pop;4;847080;14.117.999.999.999.900
2025-09;Urbano Latino;Dembow / Trap Latino;9;812172;13.536.200.000.000.000
2025-09;Indie Rock;Jangle Pop, Bedroom Pop, Psychedelic Pop;10;788742;131.457
2025-09;Rock Argentino;Reggae Rock, Post-Punk;5;783721;13.062.016.666.666.600
2025-09;Rock Argentino;Progressive Rock, Art Pop, Symphonic Rock;11;783259;13.054.316.666.666.600
2025-09;Indie Rock;Lo-Fi, Noise Pop, Post-Punk;4;737032;12.283.866.666.666.600
2025-09;Indie Rock;Punk Folk, Experimental Rock;6;695764;11.596.066.666.666.600
2025-09;Indie Rock;Alternative Rock / Bedroom Pop;6;536042;8.934.033.333.333.330
2025-09;Urbano Latino;Trap Latino / Cumbia / R&B;6;534628;8.910.466.666.666.660
2025-09;Indie Rock;Garage Rock, Post-Punk;6;533308;8.888.466.666.666.660
2025-09;Indie Pop;Synth-Pop / Disco Rock;2;518743;8.645.716.666.666.660
2025-09;Rock Argentino;Art Rock, Jazz Rock, Folk Rock;9;509970;84.995
2025-09;Indie Pop;Jangle Pop, Post-Punk;3;475050;79.174.999.999.999.900
2025-09;Indie Rock;Alternative Rock;6;453906;75.651
2025-09;Rock Argentino;Post-Punk, Hard Rock;2;446080;7.434.666.666.666.660
2025-09;Rock Argentino;Folk Rock, Progressive Rock;6;434314;7.238.566.666.666.660
2025-09;Canción de Autor;Indie Folk, Canción Platense;6;431808;71.968
2025-09;Indie Pop;Dream Pop, R&B Soul;2;416480;6.941.333.333.333.330
2025-09;Urbano Latino;Alternative Hip-Hop, Industrial Rap, Post-Punk;4;408188;6.803.133.333.333.330
2025-09;Rock Argentino;Progressive Rock / Drummer;2;404960;6.749.333.333.333.330
2025-09;Indie Pop;Canción de Autor, Art Pop;7;380099;6.334.983.333.333.330
2025-09;Rock Argentino;Alternative Rock, Funk Rock, Hard Rock;5;345257;57.542.833.333.333.300
2025-09;Rock Nacional;Rock Barrial;2;317040;5.284
2025-09;Indie Pop;Electro-Pop, Performático;2;282718;4.711.966.666.666.660
2025-09;Urbano Latino;Pop Urbano;2;264774;44.129
2025-09;Indie Rock;Experimental, Dream Pop, Lo-Fi;3;264674;4.411.233.333.333.330
2025-09;Rock Argentino;Folk Rock / Folklore Fusion;3;261838;4.363.966.666.666.660
2025-09;Indie Pop;Indie Rock / Harmony Pop;1;257920;4.298.666.666.666.660
2025-09;Rock Argentino;Post-Punk / Tango Rock;2;242254;4.037.566.666.666.660
2025-09;Rock Argentino;Hard Rock, Funk Rock, Folklore Rock;1;236946;39.491
2025-09;Indie Rock;Post-Punk / Pop Rock;1;225423;375.705
2025-09;Rock Nacional;Pop Rock / New Wave;3;224104;37.350.666.666.666.600
2025-09;Indie Rock;Lo-Fi, Alternative Rock;1;221333;36.888.833.333.333.300
2025-09;Rock Argentino;Murga Rock, Candombe Rock, Blues Rock;4;220000;3.666.666.666.666.660
2025-09;Indie Pop;Pop Rock / Synth-Pop;2;211343;35.223.833.333.333.300
2025-09;Canción de Autor;Folktronica, Indie Folk;1;206546;34.424.333.333.333.300
2025-09;Rock Argentino;Hard Rock / Blues Rock;1;197855;32.975.833.333.333.300
2025-09;Rock Argentino;Pop Rock / Folk;1;192914;32.152.333.333.333.300
2025-09;Canción de Autor;Folk Fusion / Rock;3;189464;31.577.333.333.333.300
2025-09;Indie Folk;Alt-Country / Acoustic;2;178597;29.766.166.666.666.600
2025-09;Urbano Latino;Reggaeton / Pop Urbano;2;176709;294.515
2025-09;Indie Pop;Dream Pop, Slowcore;1;170326;2.838.766.666.666.660
2025-09;Indie Pop;Electronic / R&B;2;148032;24.672
2025-09;Indie Rock;Indie Folk / Singer-Songwriter;2;145499;24.249.833.333.333.300
2025-09;Indie Pop;Lo-Fi / Bedroom Pop;1;137737;22.956.166.666.666.600
2025-09;Indie Pop;R&B Urbano, Bedroom Pop;1;137052;22.842
2025-09;Urbano Latino;Reggaeton / Neoperreo;2;110658;18.443
2025-09;Canción de Autor;Rock de Cámara, Experimental Folk;11;109397;18.232.833.333.333.300
2025-09;Urbano Latino;Pop Urbano / Reggaeton;1;87778;14.629.666.666.666.600
2025-09;Indie Pop;Pop Rock / Dream Pop;1;85360;14.226.666.666.666.600
2025-09;Indie Folk;Acoustic, Singer-Songwriter;6;77063;12.843.833.333.333.300
2025-09;Indie Rock;New Wave, Synth-Pop;3;70877;11.812.833.333.333.300
2025-09;Indie Pop;Dream Pop / Bedroom Soul;1;46892;0.7815333333333333
2025-09;Indie Pop;Dream Pop / Synth-Pop;1;45125;0.7520833333333333
2025-09;Canción de Autor;Jazz Fusion, Folklore Fusion, Pop Rock;2;35678;0.5946333333333333
2025-09;Indie Rock;Art Rock, Synth-Pop, Dance Rock;3;24678;0.4113
2025-09;Urbano Latino;Reggaeton / RKT / Trap;1;18459;0.30765
2025-09;Rock Argentino;Post-Punk, New Wave, Darkwave;1;16466;0.2744333333333333
2025-09;Indie Rock;Post-Punk, New Wave;1;15738;0.2623
2025-09;Urbano Latino;Reggaeton / R&B Latino;1;15223;0.25371666666666665
2025-09;Indie Folk;Canción Latinoamericana, Avant-Garde Pop;2;14957;0.24928333333333333
2025-09;Rock Argentino;Psych Rock, Folk Rock, Canción de Autor;3;14317;0.23861666666666664
2025-09;Indie Folk;Acoustic, Folk Latinoamericano;1;13292;0.22153333333333333
2025-09;Canción de Autor;Candombe Beat, Folk Uruguayo;4;12846;0.2141
2025-09;Urbano Latino;Trap Argentino / Rap;1;12393;0.20655
2025-09;Indie Pop;Bedroom Pop / R&B;1;9711;0.16185
2025-09;Rock Argentino;Hard Rock, Heavy Blues;2;9527;0.15878333333333333
2025-09;Urbano Latino;Cumbia / Turreo / RKT;1;8409;0.14015
2025-09;Indie Pop;Indie Folk, Canción Pop / Canción Urbana;2;7410;0.1235
2025-09;Indie Pop;Dream Pop / Experimental;1;6151;0.10251666666666667
2025-09;Rock Argentino;Hard Rock, Blues Rock, Proto-Punk, Folk Progresivo;2;5466;0.0911
2025-09;Rock Argentino;Latin Rock, Ska Rock, Cumbia Rock;1;5380;0.08966666666666667
2025-09;Indie Pop;Dream Pop / Indie Rock;1;5030;0.08383333333333333
2025-09;Rock Argentino;Rock and Roll / Blues;1;4990;0.08316666666666667
2025-09;Indie Pop;Psychedelic Pop / Synth-Pop;1;4689;0.07815
2025-09;Indie Folk;Americana, Acoustic;2;4662;0.07769999999999999
2025-09;Indie Rock;Lo-Fi / Experimental Rock;1;4566;0.0761
2025-09;Urbano Latino;Turreo / RKT / Cumbia;1;4538;0.07563333333333333
2025-09;Indie Pop;R&B / Bedroom Pop;2;3908;0.06513333333333333
2025-09;Urbano Latino;Reggaeton;1;2886;0.0481
2025-09;Rock Argentino;Folk Rock / Psychedelic Rock;2;2640;0.044
2025-09;Urbano Latino;Reggaeton / Trap Español;1;2473;0.041216666666666665
2025-09;Indie Pop;Pop Rock / Canción de Autor;1;2155;0.035916666666666666
2025-09;Rock Nacional;Pop Rock / Art Pop;1;2142;0.0357
2025-09;Indie Pop;Folk Pop / Singer-Songwriter;2;1827;0.03045
2025-09;Indie Rock;Experimental Pop / Hip-Hop;1;1758;0.0293
2025-09;Urbano Latino;DJ / Reggaeton / Trap;1;1100;0.018333333333333333
2025-09;Canción de Autor;Indie Folk / Rock Argentino;1;533;0.008883333333333333
2025-09;Canción de Autor;Folklore Fusion / Jazz;1;0;0.0
2025-09;Canción de Autor;Indie Folk;1;0;0.0
2025-10;Urbano Latino;Reggaeton, Trap Latino, Synth-Pop, Mambo;120;13414027;22.356.711.666.666.600
2025-10;Urbano Latino;Electro Funk, Alternative Trap, Hip-Hop;112;8304269;13.840.448.333.333.300
2025-10;Nuevo Flamenco;Latin Alternative, Bolero Fusion, Experimental Pop;75;7909806;1.318.301
2025-10;Rock Argentino;Alternative Rock, Electro-Rock, Pop Rock;49;7060897;11.768.161.666.666.600
2025-10;Rock Argentino;Pop Rock, New Wave, Progressive Rock;38;6518462;10.864.103.333.333.300
2025-10;Rock Argentino;Progressive Rock, Art Pop, Symphonic Rock;26;4718042;7.863.403.333.333.330
2025-10;Indie Pop;Indie Rock / Lo-Fi;23;4089065;6.815.108.333.333.330
2025-10;Indie Pop;Canción de Autor, Art Pop;35;3118479;5.197.465
2025-10;Rock Argentino;Post-Punk, Hard Rock;18;2658730;4.431.216.666.666.660
2025-10;Indie Rock;Art Rock, Alternative Rock;14;2633727;43.895.450.000.000.000
2025-10;Urbano / Trap;EDM / Trap / Session Producer;15;2555437;4.259.061.666.666.660
2025-10;Rock Argentino;Pop Rock, Piano Rock;19;2239282;3.732.136.666.666.660
2025-10;Urbano Latino;Hip-Hop, Funk Carioca, Boom Bap, Trap;39;2180938;3.634.896.666.666.660
2025-10;Urbano / Trap;Trap Argentino / R&B;16;1930551;3.217.585
2025-10;Rock Argentino;Hard Rock, Blues Rock, Proto-Punk, Folk Progresivo;12;1875074;31.251.233.333.333.300
2025-10;Indie Rock;Post-Punk, Space Rock, Noise Pop;16;1833678;305.613
2025-10;Canción de Autor;Indie Folk, Canción Platense;13;1671018;278.503
2025-10;Indie Pop;Indie Folk, Canción Pop / Canción Urbana;14;1627274;27.121.233.333.333.300
2025-10;Rock Argentino;Hard Rock, Funk Rock, Folklore Rock;8;1469191;24.486.516.666.666.600
2025-10;Rock Argentino;Murga Rock, Candombe Rock, Blues Rock;10;1350337;22.505.616.666.666.600
2025-10;Canción de Autor;Rumba / Folk Pop;6;1348222;22.470.366.666.666.600
2025-10;Rock Argentino;Art Rock, Alternative Rock, Electronic Fusion;10;1250282;20.838.033.333.333.300
2025-10;Indie Pop;Jangle Pop, Post-Punk;10;1202790;20.046.499.999.999.900
2025-10;Rock Nacional;Rock Stone / Blues Rock;6;1167195;1.945.325
2025-10;Canción de Autor;Folktronica, Indie Folk;9;1068983;1.781.638.333.333.330
2025-10;Indie Rock;Indie Pop / Rock Argentino / Pop Experimental;7;924750;154.125
2025-10;Urbano Latino;Dembow / Trap Latino;12;903627;15.060.450.000.000.000
2025-10;Indie Rock;Experimental, Dream Pop, Lo-Fi;7;888960;14.816
2025-10;Canción de Autor;Rock de Cámara, Experimental Folk;7;872378;14.539.633.333.333.300
2025-10;Canción de Autor;Indie Folk / Jazz Latino;4;847863;14.131.049.999.999.900
2025-10;Indie Pop;Electropop / Art Pop;4;841522;14.025.366.666.666.600
2025-10;Indie Rock;Canción de Autor, Bedroom Pop;4;826783;13.779.716.666.666.600
2025-10;Indie Rock;Art Rock, Synth-Pop, Dance Rock;7;818352;136.392
2025-10;Rock Argentino;Folk Rock / Psychedelic Rock;3;782294;13.038.233.333.333.300
2025-10;Canción de Autor;Folk Fusion / Rock;6;690648;115.108
2025-10;Rock Argentino;Art Rock, Jazz Rock, Folk Rock;11;643504;10.725.066.666.666.600
2025-10;Urbano Latino;Alternative Hip-Hop, Industrial Rap, Post-Punk;5;597057;9.950.949.999.999.990
2025-10;Canción de Autor;Pop Folk / Latin Singer-Songwriter;5;564864;94.144
2025-10;Indie Pop;Funk Pop / Psychedelic;5;506159;8.435.983.333.333.330
2025-10;Indie Folk;Canción de Autor;7;496026;82.671
2025-10;Rock Argentino;Post-Punk / Tango Rock;2;482134;8.035.566.666.666.660
2025-10;Indie Rock;Lo-Fi, Noise Pop, Post-Punk;5;477378;79.563
2025-10;Indie Rock;Garage Rock, Post-Punk;4;470935;7.848.916.666.666.660
2025-10;Indie Rock;Lo-Fi, Alternative Rock;2;442666;7.377.766.666.666.660
2025-10;Indie Rock;Post-Punk / Pop Rock;2;434386;7.239.766.666.666.660
2025-10;Rock Nacional;Pop Rock / New Wave;2;433920;7.231.999.999.999.990
2025-10;Indie Rock;Garage Rock Revival / Post-Punk;4;421147;7.019.116.666.666.660
2025-10;Rock Argentino;Progressive Rock / Drummer;2;404960;6.749.333.333.333.330
2025-10;Rock Nacional;Pop Rock / Art Pop;4;401192;6.686.533.333.333.330
2025-10;Rock Argentino;Latin Rock, Ska Rock, Cumbia Rock;3;326049;543.415
2025-10;Rock Argentino;Post-Punk / Folklore Rock;3;290580;4.843
2025-10;Indie Folk;Alt-Country / Acoustic;3;282710;4.711.833.333.333.330
2025-10;Indie Rock;Post-Punk, New Wave;2;264956;4.415.933.333.333.330
2025-10;Canción de Autor;Folk Latinoamericano / Tropical;1;264400;4.406.666.666.666.660
2025-10;Urbano Latino;R&B Latino / Hip-Hop / Trap;2;248340;4.139
2025-10;Indie Rock;Punk Rock, Krautrock Argentino;1;241297;4.021.616.666.666.660
2025-10;Rock Argentino;Alternative Rock, Funk Rock, Hard Rock;6;239473;3.991.216.666.666.660
2025-10;Indie Rock;Jangle Pop, Bedroom Pop, Psychedelic Pop;2;233458;3.890.966.666.666.660
2025-10;Rock Argentino;Pop Rock;2;223920;3.732
2025-10;Rock Argentino;Folk Rock, Progressive Rock;3;222205;37.034.166.666.666.600
2025-10;Canción de Autor;Candombe Beat, Folk Uruguayo;6;220198;36.699.666.666.666.600
2025-10;Rock Argentino;Hard Rock, Heavy Blues;3;218747;3.645.783.333.333.330
2025-10;Indie Folk;Folk Rock / Alt-Country;1;215837;35.972.833.333.333.300
2025-10;Canción de Autor;Indie Folk;3;212765;35.460.833.333.333.300
2025-10;Rock Argentino;Reggae Rock, Post-Punk;1;210027;350.045
2025-10;Rock Argentino;Alternative Rock / Post-Punk;1;209733;349.555
2025-10;Indie Rock;Indie Folk, Alternative Rock;1;200093;33.348.833.333.333.300
2025-10;Rock Argentino;Pop Rock / Folk;1;192915;321.525
2025-10;Indie Folk;Canción Latinoamericana;1;191321;31.886.833.333.333.300
2025-10;Rock Argentino;Psych Rock, Folk Rock, Canción de Autor;3;186368;3.106.133.333.333.330
2025-10;Indie Rock;Alternative Rock;1;185762;3.096.033.333.333.330
2025-10;Urbano Latino;Trap / Electro Funk;1;175610;2.926.833.333.333.330
2025-10;Indie Pop;Dream Pop, Slowcore;3;173923;2.898.716.666.666.660
2025-10;Canción de Autor;Latin Fusion / Pop Folk;2;171955;28.659.166.666.666.600
2025-10;Indie Pop;Synth-Pop, Bedroom Pop;1;166950;27.825
2025-10;Rock Nacional;Rock Barrial;2;160677;267.795
2025-10;Indie Folk;Acoustic, Singer-Songwriter;5;155605;25.934.166.666.666.600
2025-10;Indie Folk;Jazz Latinoamericano / Bossa Nova;2;149305;24.884.166.666.666.600
2025-10;Indie Rock;Afro-Pop Fusion, Art Pop;1;137760;2.296
2025-10;Rock Nacional;Rock Progresivo / Jazz Rock;5;103148;17.191.333.333.333.300
2025-10;Urbano Latino;Latin Alternative / Hip-Hop / Salsa;1;90980;15.163.333.333.333.300
2025-10;Indie Pop;Indie Rock / Synth-Pop;1;89978;14.996.333.333.333.300
2025-10;Rock Argentino;Hard Rock / Pop Rock;3;88350;14.725
2025-10;Indie Pop;Pop Rock / Synth-Pop;2;87682;14.613.666.666.666.600
2025-10;Urbano Latino;Dancehall / Reggaeton;3;80783;13.463.833.333.333.300
2025-10;Indie Pop;Nu-Disco / Funk / Synth-Pop;1;60417;100.695
2025-10;Urbano Latino;Reggaeton / Trap Producer;3;56566;0.9427666666666666
2025-10;Indie Pop;Bedroom Pop / Lo-Fi;1;36454;0.6075666666666667
2025-10;Urbano Latino;Alternative R&B, Trap Pop;2;34794;0.5799000000000001
2025-10;Indie Pop;Psychedelic Pop / Synth-Pop;2;29879;0.49798333333333333
2025-10;Indie Pop;Dream Pop, R&B Soul;1;17234;0.28723333333333334
2025-10;Urbano Latino;DJ / Reggaeton / Trap;1;16195;0.2699166666666667
2025-10;Indie Folk;Canción Latinoamericana, Avant-Garde Pop;2;14351;0.23918333333333333
2025-10;Indie Pop;R&B Urbano, Bedroom Pop;3;10521;0.17535
2025-10;Indie Pop;Pop Rock / Dream Pop;1;6332;0.10553333333333334
2025-10;Indie Rock;New Wave, Synth-Pop;1;5307;0.08845
2025-10;Indie Rock;Alternative Rock, Garage Rock;1;4920;0.082
2025-10;Indie Pop;Synth-Pop / Disco Rock;1;4177;0.06961666666666666
2025-10;Canción de Autor;Indie Folk / Rock Argentino;3;3584;0.05973333333333333
2025-10;Indie Pop;Indie Rock / Harmony Pop;1;2423;0.040383333333333334
2025-10;Rock Argentino;Rock and Roll / Blues;1;2323;0.03871666666666667
2025-10;Rock Argentino;Post-Punk, New Wave, Darkwave;2;2311;0.038516666666666664
2025-10;Indie Rock;Punk Folk, Experimental Rock;1;2283;0.03805
2025-10;Indie Pop;Electro-Pop, Performático;1;2249;0.037483333333333334
2025-10;Urbano Latino;Reggaeton / Pop Urbano;2;1482;0.0247
2025-10;Rock Argentino;Alternative Rock, Post-Punk, Shoegaze;1;1475;0.024583333333333332
2025-10;Urbano Latino;Trap Latino / Reggaeton;1;1420;0.023666666666666666
2025-10;Canción de Autor;Jazz Fusion, Folklore Fusion, Pop Rock;1;1091;0.018183333333333333
2025-10;Indie Folk;Acoustic / Pop;1;565;0.009416666666666667
2025-10;Urbano Latino;Trap / R&B;1;0;0.0
2025-11;Nuevo Flamenco;Latin Alternative, Bolero Fusion, Experimental Pop;176;26365441;43.942.401.666.666.600
2025-11;Indie Rock;Jangle Pop, Bedroom Pop, Psychedelic Pop;46;8531100;142.185
2025-11;Indie Rock;Indie Rock Argentino / Post-Punk Revival;15;2980542;496.757
2025-11;Urbano Latino;Reggaeton, Trap Latino, Synth-Pop, Mambo;24;2789436;464.906
2025-11;Rock Argentino;Pop Rock, New Wave, Progressive Rock;32;2048988;341.498
2025-11;Rock Argentino;Alternative Rock, Electro-Rock, Pop Rock;30;1868083;31.134.716.666.666.600
2025-11;Indie Rock;Garage Rock Revival / Post-Punk;9;1610188;26.836.466.666.666.600
2025-11;Indie Rock;Garage Rock, Post-Punk;12;1447056;241.176
2025-11;Rock Argentino;Progressive Rock, Art Pop, Symphonic Rock;10;1367750;22.795.833.333.333.300
2025-11;Urbano Latino;Electro Funk, Alternative Trap, Hip-Hop;16;1366294;22.771.566.666.666.600
2025-11;Indie Rock;Post-Punk / Alternative;11;1166488;19.441.466.666.666.600
2025-11;Indie Rock;Alternative Rock, Garage Rock;9;1067462;1.779.103.333.333.330
2025-11;Rock Argentino;Art Rock, Jazz Rock, Folk Rock;12;1014294;169.049
2025-11;Indie Pop;Indie Rock / Lo-Fi;15;934485;1.557.475
2025-11;Indie Rock;Post-Punk, Space Rock, Noise Pop;9;902195;15.036.583.333.333.300
2025-11;Rock Argentino;Post-Punk, Hard Rock;8;881497;14.691.616.666.666.600
2025-11;Indie Pop;Indie Rock / Harmony Pop;4;789328;13.155.466.666.666.600
2025-11;Rock Argentino;Pop Rock, Piano Rock;9;770130;128.355
2025-11;Indie Rock;Punk Folk, Experimental Rock;7;745978;12.432.966.666.666.600
2025-11;Indie Folk;Acoustic, Singer-Songwriter;9;682103;11.368.383.333.333.300
2025-11;Canción de Autor;Folktronica, Indie Folk;9;648115;10.801.916.666.666.600
2025-11;Indie Pop;Canción de Autor, Art Pop;8;634417;10.573.616.666.666.600
2025-11;Rock Argentino;Murga Rock, Candombe Rock, Blues Rock;8;623733;1.039.555
2025-11;Rock Argentino;Hard Rock, Funk Rock, Folklore Rock;5;604697;10.078.283.333.333.300
2025-11;Indie Pop;Jangle Pop, Post-Punk;9;585327;975.545
2025-11;Indie Pop;Electropop / Art Pop;8;581694;9.694.899.999.999.990
2025-11;Indie Pop;Folk / Contemporary R&B;3;557531;9.292.183.333.333.330
2025-11;Urbano Latino;Alternative Hip-Hop, Industrial Rap, Post-Punk;8;545080;9.084.666.666.666.660
2025-11;Indie Rock;Indie Pop / Rock Argentino / Pop Experimental;9;539305;8.988.416.666.666.660
2025-11;Indie Rock;Art Rock, Alternative Rock;12;532307;8.871.783.333.333.330
2025-11;Indie Pop;Pop Rock / Synth-Pop;4;526910;8.781.833.333.333.330
2025-11;Indie Pop;Electropop / Urban Pop;2;482492;8.041.533.333.333.330
2025-11;Canción de Autor;Indie Folk, Canción Platense;8;478912;7.981.866.666.666.660
2025-11;Indie Folk;Bolero / Latin Fusion;2;472491;787.485
2025-11;Canción de Autor;Candombe Beat, Folk Uruguayo;6;468908;7.815.133.333.333.330
2025-11;Indie Rock;Art Rock, Synth-Pop, Dance Rock;14;431203;7.186.716.666.666.660
2025-11;Canción de Autor;Rock de Cámara, Experimental Folk;7;424146;70.691
2025-11;Indie Folk;Canción de Autor / Bolero;4;408981;681.635
2025-11;Rock Argentino;Progressive Rock / Drummer;4;407042;6.784.033.333.333.330
2025-11;Indie Rock;Canción de Autor, Bedroom Pop;2;393434;6.557.233.333.333.330
2025-11;Indie Folk;Canción Latinoamericana;3;391357;6.522.616.666.666.660
2025-11;Rock Argentino;Reggae Rock, Post-Punk;3;376000;6.266.666.666.666.660
2025-11;Indie Pop;Dream Pop, Slowcore;4;350051;5.834.183.333.333.330
2025-11;Rock Nacional;Pop Rock / New Wave;6;345480;5.758
