Source,Target,artistName,trackName,msPlayed,endTime
Rock Argentino,7. Domingo,Sui Generis,Mariel y el Capitán,2771,2026-05-31 19:56:00
Indie Folk,7. Domingo,Phoebe Bridgers,Motion Sickness,229760,2026-05-31 20:00:00
Indie Folk,7. Domingo,Feli Colina,TRIGAL,1672,2026-05-31 22:43:00
Rock Argentino,4. Jueves,Charly García,Raros Peinados Nuevos,872,2026-06-04 11:14:00
Indie Pop,5. Viernes,Cupido,Ouch :_(,0,2026-06-05 13:28:00
Rock Argentino,5. Viernes,Indio Solari,Había una Vez...,268213,2026-06-05 16:14:00
Rock Argentino,5. Viernes,Indio Solari,Flight 956,307080,2026-06-05 16:19:00
Rock Argentino,5. Viernes,Patricio Rey y sus Redonditos de Ricota,Caña Seca y un Membrillo,268227,2026-06-05 16:24:00
Rock Argentino,5. Viernes,Luis Alberto Spinetta,Rezo Por Vos,202507,2026-06-05 16:31:00
Rock Argentino,5. Viernes,Indio Solari,To Beef Or Not To Beef,279480,2026-06-05 16:39:00
Rock Argentino,5. Viernes,Los Piojos,Muy Despacito,362733,2026-06-05 16:45:00
Rock Argentino,5. Viernes,Bersuit Vergarabat,Vuelos,264587,2026-06-05 16:49:00
Rock Argentino,5. Viernes,Indio Solari,Bebamos de las Copas Lindas,246053,2026-06-05 17:03:00
Rock Argentino,5. Viernes,Sumo,Hola Frank,189773,2026-06-05 17:06:00
Rock Argentino,5. Viernes,Los Piojos,Ando Ganas (Llora Llora),330827,2026-06-05 17:16:00
Rock Argentino,5. Viernes,Indio Solari,El Callejón de los Milagros,171573,2026-06-05 17:25:00
Rock Argentino,5. Viernes,Bersuit Vergarabat,Murguita Del Sur,256973,2026-06-05 17:30:00
Rock Argentino,5. Viernes,Sumo,Heroína,341827,2026-06-05 17:35:00
Rock Argentino,5. Viernes,Los Piojos,Buenos Tiempos,240760,2026-06-05 17:43:00
Rock Argentino,5. Viernes,Indio Solari,Encuentro con un Ángel Amateur - En Vivo,213682,2026-06-05 17:47:00
Rock Argentino,5. Viernes,Indio Solari,La Pequeña Mamba,247293,2026-06-05 19:56:00
Rock Argentino,5. Viernes,Charly García,Asesíname,223173,2026-06-05 20:01:00
Indie Pop,5. Viernes,Astro,Maestro Distorsión,234987,2026-06-05 21:19:00
Indie Rock,5. Viernes,Rosario Bléfari,Vidrieras,45139,2026-06-05 22:44:00
